country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","06-01-2025 23:00:00",23.218135,79.957770,OZONE,10,122,49
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","06-01-2025 23:00:00",12.921418,77.502466,OZONE,22,23,22
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","06-01-2025 23:00:00",16.802639,75.722694,OZONE,14,16,16
India,Karnataka,Kolar,"Tamaka Ind. Area, Kolar - KSPCB","06-01-2025 23:00:00",13.1276288,78.1570122,OZONE,17,44,25
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","06-01-2025 23:00:00",13.428828,77.731418,OZONE,24,24,24
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","06-01-2025 23:00:00",11.875000,75.373200,OZONE,26,31,27
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","06-01-2025 23:00:00",20.719516,77.000253,OZONE,3,86,27
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","06-01-2025 23:00:00",23.163174,79.973061,OZONE,7,164,82
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","06-01-2025 23:00:00",26.200388,78.147714,OZONE,38,66,50
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","06-01-2025 23:00:00",18.573040,73.927715,OZONE,12,172,70
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","06-01-2025 23:00:00",18.536457,73.805454,OZONE,2,145,74
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","06-01-2025 23:00:00",19.383200,72.820400,OZONE,6,12,7
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","06-01-2025 23:00:00",18.9936162,72.8128113,OZONE,4,19,4
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","06-01-2025 23:00:00",21.121801,79.04952,OZONE,1,128,44
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","06-01-2025 23:00:00",19.0863,72.8888,OZONE,28,29,28
India,Maharashtra,Mumbai,"Mazgaon, Mumbai - IITM","06-01-2025 23:00:00",18.96702,72.84214,OZONE,NA,NA,NA
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","06-01-2025 23:00:00",19.1878657,72.8304069,OZONE,19,81,63
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","06-01-2025 23:00:00",21.143383,79.048912,OZONE,3,170,61
India,Maharashtra,Nanded,"Sneh Nagar, Nanded - MPCB","06-01-2025 23:00:00",19.173852,77.296291,OZONE,16,239,209
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","06-01-2025 23:00:00",19.090337,73.014232,OZONE,3,99,55
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","06-01-2025 23:00:00",21.001264,75.565602,OZONE,3,109,53
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","06-01-2025 23:00:00",19.205800,72.868200,OZONE,15,16,16
India,Maharashtra,Pune,"Karve Road, Pune - MPCB","06-01-2025 23:00:00",18.5011743,73.8165527,OZONE,6,63,20
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","06-01-2025 23:00:00",19.000084,72.856730,OZONE,4,76,57
India,Odisha,Tensa,"Barsua Iron Ore Mines, Tensa - OSPCB","06-01-2025 23:00:00",21.869985,85.167016,OZONE,11,20,14
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","06-01-2025 23:00:00",31.620000,74.876512,OZONE,42,64,51
India,Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB","06-01-2025 23:00:00",30.233011,74.907758,CO,2,116,47
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","06-01-2025 23:00:00",21.643900,85.599355,OZONE,32,102,44
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","06-01-2025 23:00:00",22.265816,86.174829,OZONE,7,21,16
India,Odisha,Rourkela,"Fertilizer Township, Rourkela - OSPCB","06-01-2025 23:00:00",22.18972222,84.86277778,CO,15,26,19
India,Maharashtra,Solapur,"Solapur, Solapur - MPCB","06-01-2025 23:00:00",17.6599188,75.9063906,SO2,1,35,6
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","06-01-2025 23:00:00",19.235581,73.159121,OZONE,2,78,55
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","06-01-2025 23:00:00",22.06156703,85.47409613,OZONE,24,27,25
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","06-01-2025 23:00:00",21.8004996,83.8396977,OZONE,8,96,51
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","06-01-2025 23:00:00",28.207266,76.829265,OZONE,12,34,23
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","06-01-2025 23:00:00",27.215415,77.50873,OZONE,21,54,36
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","06-01-2025 23:00:00",25.339605,74.618883,OZONE,22,99,72
India,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB","06-01-2025 23:00:00",22.24500000,84.88111111,CO,19,34,22
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","06-01-2025 23:00:00",27.554793,76.611536,OZONE,7,35,22
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","06-01-2025 23:00:00",20.34652,85.81630,OZONE,4,121,40
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","06-01-2025 23:00:00",25.435774,75.644272,OZONE,11,64,33
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB","06-01-2025 23:00:00",10.358535,77.984321,SO2,19,22,20
India,TamilNadu,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB","06-01-2025 23:00:00",10.423417,78.784889,SO2,12,15,13
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB","06-01-2025 23:00:00",9.36399,78.831977,OZONE,13,14,14
India,TamilNadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB","06-01-2025 23:00:00",11.06825,79.07033,SO2,9,9,9
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","06-01-2025 23:00:00",13.0052189,80.2398125,OZONE,2,8,6
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","06-01-2025 23:00:00",26.268249,73.0193853,OZONE,17,73,44
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","06-01-2025 23:00:00",26.031443,76.359327,OZONE,19,36,33
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","06-01-2025 23:00:00",24.041198,74.780702,OZONE,46,85,73
India,Rajasthan,Jalore,"Mudtra Sili, Jalore - RSPCB","06-01-2025 23:00:00",25.344694,72.626208,OZONE,37,96,69
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","06-01-2025 23:00:00",28.840739,78.697531,OZONE,1,51,25
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","06-01-2025 23:00:00",28.88528,78.73880,OZONE,10,12,11
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB","06-01-2025 23:00:00",27.169338,78.03582,OZONE,1,6,3
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB","06-01-2025 23:00:00",28.38910936,79.42963708,CO,38,70,46
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","06-01-2025 23:00:00",28.406963,77.849831,OZONE,1,23,9
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","06-01-2025 23:00:00",17.585705,78.126199,OZONE,27,37,36
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB","06-01-2025 23:00:00",17.544899,78.486949,OZONE,24,57,34
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB","06-01-2025 23:00:00",17.540891,78.358528,OZONE,48,54,52
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","06-01-2025 23:00:00",17.460103,78.334361,OZONE,4,314,16
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB","06-01-2025 23:00:00",26.730136,83.433859,OZONE,18,41,24
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB","06-01-2025 23:00:00",11.679111,78.125052,OZONE,15,17,16
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","06-01-2025 23:00:00",17.518400,78.278777,OZONE,16,77,73
India,Uttar_Pradesh,Agra,"Rohta, Agra - UPPCB","06-01-2025 23:00:00",27.106972,78.000111,OZONE,14,15,15
